50793,1375308033
45775,2068764063
24199,1015335799
38463,1034861987
56521,1759005001
10877,1714520789
63917,2435333813
33515,2471509787
9739,753117859
62803,2696475547
33043,183759483
46671,294909359
32651,576717475
39533,61763697
53489,1977132049
29611,979984291
50831,527104111
35869,836330629
10963,49796107
43511,1419026123
1531,1053283171
44803,1354183147
58591,1736366395
625,128813713
47133,724692917
23489,803534669
27355,1058412723
15667,290603335
61247,1813082783
23927,2891740763
57007,1297585243
16789,1874173057
727,1743164347
4821,1085770941
31691,1364715811
12151,653851591
37357,2363979285
2147,2867525963
42787,2217941983
20047,155816863
20605,440868181
55089,2740018561
27371,1571193011
59209,1343858089
21103,39962567
65285,73961909
48607,1439985343
31859,1937856059
42263,1114345283
2953,2111562937
3073,275984917
49733,1687807565
23261,775102325
33499,165166003
45923,1282919627
60169,1007419369
45011,992273171
47911,770872471
13619,846814307
59399,1181050487
54719,1683168191
39731,1684435259
5717,1464861933
15391,146618911
36053,3005707085
7997,136271189
53159,770596823
21445,647825917
45365,1841924405
64513,2761796017
59107,170582443
33691,172886611
11167,2536611743
45151,139895071
32901,2748134861
42047,388430423
40241,1831583921
52977,1465407665
65321,1101367241
35369,528655553
12311,1586632295
53345,1056672641
39643,185995795
9307,858305683
49277,1673358305
30263,2128335287
52949,1525989629
45317,224248653
37543,1005230167
38321,1096544681
8711,68390391
25891,681247111
25855,2524537255
28171,917065171
24325,1566290593
17047,1976919487
41651,285587891
20317,1986142501
5977,1602771193
38717,2084847237
19119,607141679
